id,name,mainFood,subFood,skill,taste,difficulty
0,茄子饼,"[茄子,小麦面粉]","[盐,猪肉,鸡蛋,胡萝卜,白糖,胡椒粉,花生油]",煎,家常味,未知
1,土豆炒牛肉,"[土豆,牛肉]","[酱油,红薯,盐,花生油]",炒,家常味,未知
2,凉拌黄瓜,[黄瓜],"[洋葱,辣椒油,黑木耳,花生,香菜,大蒜,盐,白糖,醋]",拌,咸鲜味,未知
3,香辣西芹鱿鱼圈,"[鱿鱼,西芹]","[花生油,盐,料酒,洋葱,小葱,大蒜]",炒,香辣味,未知
4,葱爆羊肉,"[羊肉,大葱]","[鸡精,孜然,胡椒粉,酱油,料酒,盐,白糖,醋,花生油]",炒,咸鲜味,初中水平
5,醋溜白菜,[白菜],"[大葱,花生油,盐,醋,白糖]",炒,家常味,新手尝试
6,爽口凉拌菜,"[黄瓜,豆腐皮,花生]","[辣椒粉,大葱,大蒜,芝麻,香菜,白糖,醋,盐]",拌,咸鲜味,新手尝试
7,大蒜泥拍黄瓜,"[黄瓜,大蒜]","[盐,鸡精,白糖,胡萝卜]",拌,咸鲜味,未知
8,烧茄子,[茄子],"[花生油,淀粉,盐,大蒜,白糖,花椒,大葱,生姜,酱油]",炒,家常味,中级掌勺
9,肉骨茶,"[排骨,油菜,香菇]","[盐,桂皮,丁香,胡椒,枸杞子,八角,桂圆,甘草,大蒜,花生油]",煮,咸鲜味,初中水平
10,老虎菜,"[香菜,青椒]","[芝麻油,大蒜,盐,醋,大葱,花生油]",拌,酸辣味,新手尝试
11,银鱼炒蛋,"[鸡蛋,银鱼]","[大葱,盐,花生油]",炒,家常味,新手尝试
12,灯影牛肉丝,[牛肉],"[辣椒油,盐,白糖,生姜,花椒,辣椒粉,干辣椒,花生油,酱油,青椒,大蒜]",炒,麻辣味,初级入门
13,生炒仔姜鸡块,"[鸡肉,生姜]","[花椒,白糖,盐,生姜,料酒,花生油,大葱,辣椒]",炒,香辣味,初中水平
14,洋葱炒鸡蛋,"[洋葱,鸡蛋]","[盐,鸡精,花生油,生姜,酱油,大蒜]",炒,家常味,初中水平
15,牛奶八宝饭,"[葡萄干,杏仁,红枣,枸杞子,桂圆,糯米,牛奶]",[白糖],煮,甜味,新手尝试
16,山药木耳荷兰豆,"[荷兰豆,黑木耳,山药]","[花生油,盐,生姜]",炒,家常味,未知
17,大蒜香生菜,[生菜],"[淀粉,盐,花生油,大蒜,大葱]",炒,咸鲜味,未知
18,香辣啤酒鸡胗,"[鸡胗,啤酒]","[花生油,辣椒,盐,花椒,生姜,大蒜,大葱]",炒,香辣味,中级掌勺
19,丝瓜炒海虹,"[丝瓜,海虹]","[生姜,辣椒,大蒜,盐,花生油,鸡精,料酒]",炒,咸鲜味,初级入门
