id,name,mainFood,subFood,skill,taste,difficulty,time
0,西芹凉拌牛肚,"[牛肚,西芹]","[盐,料酒,大蒜,生姜,酱油,醋,花生油,白糖]",拌,家常味,新手尝试,5
1,孜然大葱炒牛肉,"[大葱,牛肉,孜然]","[粉条,白糖,蚝油,盐,花生油,酱油,生姜]",炒,家常味,初级入门,15
2,麻辣牛肚,[牛肚],"[干辣椒,花生油,花椒,盐,酱油,香菜,大蒜]",炒,麻辣味,未知,30
3,黄记煌海鲜三汁焖锅,"[鱿鱼,墨鱼,河虾,香肠,胡萝卜,红薯,莲藕,芹菜]","[大蒜,大葱,青椒,香菜,红枣,辣椒酱,豆瓣酱,淀粉,花生油]",焖,咸鲜味,初级入门,30
4,爆腰花,[猪腰],"[花生油,盐,生姜,大蒜,酱油,料酒,大葱,鸡精,醋,淀粉,花椒]",炒,家常味,初级入门,10
5,猪肉蒸蛋,"[鸡蛋,猪肉]","[淀粉,酱油,盐,花生油,大蒜,大葱]",蒸,家常味,初级入门,30
6,小炒黄米,[黄米],"[盐,香肠,蒜苗,鸡精,花生油]",炒,咸鲜味,初中水平,10
7,炖茄子,[茄子],"[花生油,猪肉,盐,酱油,大蒜]",炖,家常味,未知,30
8,大葱炒猪肝,[猪肝],"[豆瓣酱,酱油,料酒,淀粉,盐,生姜,白糖,味精,大葱]",炒,家常味,新手尝试,10
9,冬虫夏草炖鸭肉,"[鸭肉,冬虫夏草]","[盐,大葱,生姜,枸杞子]",炖,咸鲜味,新手尝试,90
10,酸汤牛肉锅,"[泡菜,牛肉]","[花生油,金针菇,白萝卜,娃娃菜,菜花,大蒜,辣椒,盐,醋]",煮,家常味,未知,30
11,翡翠白玉生煎包,"[小麦面粉,菠菜,猪肉]","[黑芝麻,白糖,大葱,苏打粉,盐,菠菜,料酒,淀粉,酱油,豆瓣酱,鸡精,花生油,花椒]",煎,家常味,未知,2
12,麻辣锅塌豆腐,[豆腐],"[花生油,鸡蛋,淀粉,酱油,辣椒酱,盐,蚝油]",炒,香辣味,新手尝试,5
13,西湖醋鱼,[草鱼],"[花生油,生姜,大葱,醋,淀粉,盐,料酒,酱油,白糖]",炖,酸甜味,初级入门,30
14,红烧茄子,[茄子],"[花生油,盐,蚝油,酱油,淀粉,大蒜,花椒,大葱,生姜,白糖,香菜]",炒,咸鲜味,未知,15
15,猪肉虾皮烧冬瓜,"[冬瓜,虾皮,猪肉]","[大蒜,大葱,盐,花生油]",烧,咸鲜味,初中水平,15
16,茴香小肉盒,"[茴香,猪肉,小麦面粉]","[盐,花生油,鸡蛋]",煎,咸鲜味,新手尝试,15
17,猪肉萝卜臊子面,"[面条,猪肉,青萝卜]","[大葱,生姜,香菜,花生油,盐,酱油,蚝油,五香粉]",烧,家常味,初级入门,30
18,生煎包,"[猪肉,小麦面粉]","[花生油,猪皮,大葱,生姜,芝麻,盐,酱油,胡椒粉,黑芝麻,苏打粉]",煎,咸鲜味,新手尝试,60
19,茼蒿炖带鱼,"[带鱼,茼蒿]","[酱油,料酒,豆瓣酱,花生油,大葱,白糖,盐]",炖,咸鲜味,未知,30
20,生煎包,"[小麦面粉,猪肉]","[花生油,猪皮,酱油,大葱,盐,生姜,黑芝麻,苏打粉]",煎,咸鲜味,初中水平,30
21,茄汁灯笼茄子,"[茄子,西红柿]","[盐,番茄酱,鸡精,白糖,花生油]",蒸,茄汁味,中级掌勺,15
22,家常版西兰花炒牛肉,"[牛肉,西兰花]","[花生油,盐,胡椒粉,酱油,白糖,淀粉,生姜,大蒜]",炒,咸鲜味,初级入门,30
23,家常凉菜,"[黄瓜,豆腐皮]","[花生油,盐,酱油,醋,大蒜,大葱]",拌,家常味,初级入门,10
24,蜜汁烤鸡翅,[鸡翅],"[花生油,盐,胡椒粉,芝麻,鸡精,蜂蜜]",烤,家常味,新手尝试,30
25,宫保鸡丁,"[花生,鸡肉,黄瓜]","[大葱,生姜,大蒜,干辣椒,花椒,盐,花生油,料酒,醋,淀粉,白糖]",炒,大葱香味,初中水平,15
26,凉拌韭菜黄豆芽,"[韭菜,黄豆芽]","[盐,花生油,酱油,醋,蚝油]",拌,咸鲜味,初级入门,15
27,韭菜炒鸡蛋,"[韭菜,鸡蛋]","[花生油,盐,鸡精,小葱]",炒,家常味,新手尝试,15
28,烤鱼,[鲅鱼],"[花生油,料酒,盐,酱油,生姜,大蒜,大葱,腐乳]",烤,香辣味,新手尝试,10
29,豆豉酱拌炒金针菇,"[豆豉,金针菇]","[辣椒酱,粉丝,大葱,大蒜,花生油,盐]",拌,香辣味,新手尝试,5
30,黑木耳胡萝卜拌花菜,"[黑木耳,花菜,胡萝卜]","[大蒜,醋,白糖,花生油,盐]",拌,家常味,初级入门,15
31,鲅鱼炖大蒜,"[鲅鱼,大蒜]","[大葱,生姜,八角,料酒,猪肉,盐,酱油,白糖,花生油]",炖,咸鲜味,中级掌勺,60
32,浇汁清蒸鲈鱼,[鲈鱼],"[香菜,盐,料酒,辣椒,大葱,小葱,大蒜,生姜,花生油,花椒]",蒸,咸鲜味,新手尝试,15
33,猪肉烧芋头,"[猪肉,芋头]","[大葱,胡萝卜,生姜,大蒜,花椒,八角,花生油,酱油,盐]",烧,咸鲜味,新手尝试,30
